model,waic,se_waic,waic_weight,looic,se_looic,loo_weight
vocal_repertoire_model,14139.3617659057,87.1820379464457,0.31,14140.6343605475,87.1939970802853,0.31
base_model,14140.2541058485,87.1132595489811,0.2,14141.5268024733,87.124834493436,0.2
dietary_breadth_model,14140.2952700316,87.1867055669086,0.19,14141.5609787211,87.1984832046674,0.19
group_size_model,14142.1398587926,87.1911248472835,0.08,14143.4277434215,87.2031624139439,0.08
color_vision_model,14142.8628277007,87.2251888616839,0.05,14144.1572537286,87.237158689284,0.05
day_journey_group_size_model,14142.9442120284,87.3638923512575,0.05,14144.2580253198,87.3762750798584,0.05
diurnal_resting_model,14143.1131314465,87.1988229899524,0.05,14144.3878359433,87.2106427340002,0.05
frugivory_terrestriality_model,14143.2619709274,87.3243979217838,0.04,14144.5759333119,87.3367956928666,0.04
home_range_feeding_budget_diet_breath_model,14144.6199460228,87.292497036524,0.02,14145.9164955315,87.3043221802333,0.02
diet_diversity_model,14145.5393410556,87.453997258324,0.01,14146.8829359475,87.4666969957007,0.01
